26805.148,86960.992	26775.094,86959.237
31805.148,86960.992	31776.993,86959.844
36805.148,86960.992	36776.088,86960.064
41805.148,86960.992	41774.074,86960.363
46805.148,86960.992	46773.014,86961.852
51805.148,86960.992	51771.886,86963.865
56805.148,86960.992	56770.868,86965.416
61805.148,86960.992	61769.918,86966.636
66805.148,86960.992	66769.520,86966.929
71805.148,86960.992	71767.684,86966.364
76805.148,86960.992	76767.390,86966.176
81805.148,86960.992	81766.537,86966.282
86805.148,86960.992	86766.102,86966.972
91805.148,86960.992	91765.845,86967.963
96805.148,86960.992	96766.145,86968.780
101805.148,86960.992	101765.516,86969.416
106805.148,86960.992	106766.272,86970.717
111805.148,86960.992	111765.768,86972.855
116805.148,86960.992	116766.684,86975.002
121805.148,86960.992	121767.169,86977.045
126805.148,86960.992	126768.068,86977.860
131805.148,86960.992	131767.407,86978.495
136805.148,86960.992	136769.148,86979.588
141805.148,86960.992	141768.620,86980.340
146805.148,86960.992	146768.999,86981.330
151805.148,86960.992	151768.367,86981.760
156805.148,86960.992	156768.900,86982.567
161805.148,86960.992	161767.063,86983.129
166805.148,86960.992	166768.245,86984.342
171805.148,86960.992	171767.119,86985.988
26805.148,91960.992	26772.308,91957.046
31805.148,91960.992	31775.379,91958.006
36805.148,91960.992	36774.769,91957.859
41805.148,91960.992	41772.877,91958.060
46805.148,91960.992	46771.381,91959.582
51805.148,91960.992	51769.762,91961.705
56805.148,91960.992	56769.039,91963.693
61805.148,91960.992	61768.295,91965.239
66805.148,91960.992	66767.782,91965.402
71805.148,91960.992	71766.337,91965.088
76805.148,91960.992	76765.041,91964.506
81805.148,91960.992	81764.372,91964.635
86805.148,91960.992	86764.591,91965.595
91805.148,91960.992	91764.577,91966.500
96805.148,91960.992	96764.477,91967.076
101805.148,91960.992	101763.493,91967.766
106805.148,91960.992	106764.523,91968.849
111805.148,91960.992	111764.099,91970.751
116805.148,91960.992	116764.737,91972.747
121805.148,91960.992	121765.347,91974.787
126805.148,91960.992	126765.989,91975.767
131805.148,91960.992	131765.963,91976.430
136805.148,91960.992	136767.136,91977.633
141805.148,91960.992	141766.416,91978.752
146805.148,91960.992	146768.457,91979.610
151805.148,91960.992	151766.916,91980.763
156805.148,91960.992	156766.721,91981.124
161805.148,91960.992	161765.651,91981.767
166805.148,91960.992	166766.393,91982.348
171805.148,91960.992	171768.475,91982.290
26805.148,96960.992	26771.691,96956.971
31805.148,96960.992	31773.593,96957.586
36805.148,96960.992	36773.150,96957.869
41805.148,96960.992	41770.745,96958.333
46805.148,96960.992	46769.554,96959.623
51805.148,96960.992	51768.052,96961.985
56805.148,96960.992	56767.196,96964.006
61805.148,96960.992	61766.734,96965.301
66805.148,96960.992	66765.985,96965.586
71805.148,96960.992	71764.794,96965.247
76805.148,96960.992	76764.261,96964.998
81805.148,96960.992	81763.048,96965.201
86805.148,96960.992	86762.975,96965.635
91805.148,96960.992	91763.071,96966.362
96805.148,96960.992	96763.451,96967.422
101805.148,96960.992	101762.171,96968.153
106805.148,96960.992	106762.951,96969.381
111805.148,96960.992	111763.145,96971.164
116805.148,96960.992	116763.508,96973.543
121805.148,96960.992	121763.888,96975.026
126805.148,96960.992	126764.400,96976.183
131805.148,96960.992	131764.073,96976.845
136805.148,96960.992	136765.620,96978.177
141805.148,96960.992	141765.398,96979.362
146805.148,96960.992	146765.627,96980.078
151805.148,96960.992	151765.434,96980.737
156805.148,96960.992	156765.717,96981.286
161805.148,96960.992	161763.958,96981.834
166805.148,96960.992	166765.107,96982.921
171805.148,96960.992	171763.711,96984.270
26805.148,101960.992	26769.903,101955.994
31805.148,101960.992	31772.312,101956.881
36805.148,101960.992	36771.628,101957.016
41805.148,101960.992	41770.191,101956.751
46805.148,101960.992	46768.265,101958.341
51805.148,101960.992	51766.594,101960.513
56805.148,101960.992	56766.218,101962.877
61805.148,101960.992	61765.493,101964.594
66805.148,101960.992	66764.645,101964.829
71805.148,101960.992	71763.554,101964.512
76805.148,101960.992	76762.566,101964.381
81805.148,101960.992	81761.505,101964.685
86805.148,101960.992	86761.760,101964.930
91805.148,101960.992	91761.971,101966.307
96805.148,101960.992	96761.942,101966.624
101805.148,101960.992	101760.910,101967.424
106805.148,101960.992	106761.507,101968.930
111805.148,101960.992	111761.287,101970.712
116805.148,101960.992	116762.600,101972.201
121805.148,101960.992	121762.836,101974.097
126805.148,101960.992	126763.603,101975.263
131805.148,101960.992	131763.054,101976.099
136805.148,101960.992	136763.911,101977.490
141805.148,101960.992	141763.650,101978.457
146805.148,101960.992	146765.014,101979.498
151805.148,101960.992	151763.953,101980.571
156805.148,101960.992	156763.934,101980.947
161805.148,101960.992	161762.536,101981.595
166805.148,101960.992	166763.565,101982.561
171805.148,101960.992	171762.582,101983.968
26805.148,106960.992	26768.670,106956.890
31805.148,106960.992	31770.645,106957.562
36805.148,106960.992	36769.389,106958.014
41805.148,106960.992	41768.009,106958.390
46805.148,106960.992	46767.191,106959.672
51805.148,106960.992	51765.309,106962.241
56805.148,106960.992	56764.795,106964.300
61805.148,106960.992	61763.849,106965.744
66805.148,106960.992	66763.477,106966.032
71805.148,106960.992	71762.210,106965.683
76805.148,106960.992	76761.256,106965.120
81805.148,106960.992	81760.227,106965.450
86805.148,106960.992	86760.153,106965.869
91805.148,106960.992	91760.389,106966.880
96805.148,106960.992	96760.403,106967.743
101805.148,106960.992	101759.194,106968.542
106805.148,106960.992	106760.382,106970.128
111805.148,106960.992	111759.732,106971.782
116805.148,106960.992	116761.148,106974.072
121805.148,106960.992	121761.567,106975.708
126805.148,106960.992	126761.990,106976.980
131805.148,106960.992	131761.542,106977.525
136805.148,106960.992	136762.392,106978.716
141805.148,106960.992	141761.935,106979.888
146805.148,106960.992	146763.739,106980.518
151805.148,106960.992	151762.322,106981.407
156805.148,106960.992	156762.983,106982.127
161805.148,106960.992	161761.208,106982.825
166805.148,106960.992	166762.653,106983.950
171805.148,106960.992	171761.093,106985.598
26805.148,111960.992	26766.869,111956.888
31805.148,111960.992	31769.238,111956.990
36805.148,111960.992	36768.764,111957.650
41805.148,111960.992	41766.569,111957.991
46805.148,111960.992	46765.279,111959.187
51805.148,111960.992	51763.946,111961.630
56805.148,111960.992	56763.802,111963.995
61805.148,111960.992	61762.761,111965.497
66805.148,111960.992	66761.631,111965.810
71805.148,111960.992	71760.438,111965.376
76805.148,111960.992	76759.741,111964.766
81805.148,111960.992	81758.680,111965.215
86805.148,111960.992	86759.029,111965.675
91805.148,111960.992	91758.527,111966.793
96805.148,111960.992	96759.100,111967.406
101805.148,111960.992	101758.110,111968.197
106805.148,111960.992	106758.335,111969.657
111805.148,111960.992	111758.418,111971.630
116805.148,111960.992	116759.784,111973.507
121805.148,111960.992	121759.889,111975.521
126805.148,111960.992	126760.683,111976.339
131805.148,111960.992	131760.420,111977.226
136805.148,111960.992	136761.126,111978.527
141805.148,111960.992	141760.737,111979.691
146805.148,111960.992	146761.565,111980.618
151805.148,111960.992	151761.204,111981.547
156805.148,111960.992	156761.398,111982.094
161805.148,111960.992	161760.156,111982.506
166805.148,111960.992	166761.012,111983.637
171805.148,111960.992	171759.798,111985.234
26805.148,116960.992	26765.724,116957.236
31805.148,116960.992	31768.083,116957.897
36805.148,116960.992	36767.247,116958.766
41805.148,116960.992	41764.793,116958.038
46805.148,116960.992	46763.870,116959.612
51805.148,116960.992	51762.525,116962.082
56805.148,116960.992	56762.462,116964.794
61805.148,116960.992	61761.359,116966.013
66805.148,116960.992	66760.480,116966.059
